Indicator Type,County,Value
No_Insurance,51630,17.70
No_Insurance,51640,19.80
No_Insurance,51650,13.60
No_Insurance,51660,19.00
No_Insurance,51670,17.40
No_Insurance,51678,17.70
No_Insurance,51680,15.30
No_Insurance,51683,17.80
No_Insurance,51685,19.60
No_Insurance,51690,17.60
No_Insurance,51700,14.80
No_Insurance,51710,17.70
No_Insurance,51720,15.20
No_Insurance,51730,16.70
No_Insurance,51735,9.80
No_Insurance,51740,15.60
No_Insurance,51750,15.30
No_Insurance,51760,17.80
No_Insurance,51770,17.90
No_Insurance,51775,12.80
No_Insurance,51790,16.10
No_Insurance,51800,13.50
No_Insurance,51810,12.50
No_Insurance,51820,16.50
No_Insurance,51830,11.90
No_Insurance,51840,19.90
No_Insurance,51001,20.80
No_Insurance,51003,12.10
No_Insurance,51005,13.60
No_Insurance,51007,19.10
No_Insurance,51009,16.30
No_Insurance,51011,16.60
No_Insurance,51013,10.10
No_Insurance,51015,13.30
No_Insurance,51017,18.80
No_Insurance,51019,13.60
No_Insurance,51021,15.40
No_Insurance,51023,12.00
No_Insurance,51025,17.80
No_Insurance,51027,15.40
No_Insurance,51029,20.00
No_Insurance,51031,15.70
No_Insurance,51033,17.20
No_Insurance,51035,17.70
No_Insurance,51036,21.20
No_Insurance,51037,19.20
No_Insurance,51041,10.80
No_Insurance,51043,13.30
No_Insurance,51045,19.40
No_Insurance,51047,16.40
No_Insurance,51049,20.50
No_Insurance,51051,15.40
No_Insurance,51053,15.30
No_Insurance,51057,16.90
No_Insurance,51059,11.10
No_Insurance,51061,13.20
No_Insurance,51063,18.80
No_Insurance,51065,15.40
No_Insurance,51067,16.00
No_Insurance,51069,14.00
No_Insurance,51071,14.50
No_Insurance,51073,15.30
No_Insurance,51075,9.70
No_Insurance,51077,16.40
No_Insurance,51079,16.30
No_Insurance,51081,15.80
No_Insurance,51083,16.20
No_Insurance,51085,9.70
No_Insurance,51087,11.70
No_Insurance,51089,17.80
No_Insurance,51091,26.30
No_Insurance,51093,13.30
No_Insurance,51095,10.70
No_Insurance,51097,19.50
No_Insurance,51099,11.70
No_Insurance,51101,14.00
No_Insurance,51103,18.30
No_Insurance,51105,15.80
No_Insurance,51107,8.70
No_Insurance,51109,15.30
No_Insurance,51111,17.80
No_Insurance,51113,17.40
No_Insurance,51115,17.00
No_Insurance,51117,18.10
No_Insurance,51119,19.30
No_Insurance,51121,14.70
No_Insurance,51125,17.40
No_Insurance,51127,13.10
No_Insurance,51131,18.00
No_Insurance,51133,18.90
No_Insurance,51135,18.70
No_Insurance,51137,16.40
No_Insurance,51139,18.70
No_Insurance,51141,17.60
No_Insurance,51143,16.00
